element,central,intergrade,extragrade,intragrade,derivation,connotation,simplified,link
hemic,FALSE,,,FALSE,half,>25cm of hemic organic material,,
humic,FALSE,,,TRUE,earth,higher organic matter content,,
hydric,FALSE,,,FALSE,water,presence of water,,
kandic,FALSE,,,FALSE,modified from kandite,low activity clay present,,
lamellic,FALSE,,,FALSE,dim,presence of lamellae,,
leptic,FALSE,,,TRUE,thin,thinner than typic subgroup,,
limnic,FALSE,,,FALSE,lake,presence of a limnic layer,,
lithic,FALSE,,,FALSE,stone,shallow lithic contact present,,
natric,FALSE,,,FALSE,sodium,presence of sodium,,
nitric,FALSE,,,FALSE,modified from nitron,presence of nitrate salts,,
ombroaquic,FALSE,,,TRUE,rain + water,surface wetness,,
oxyaquic,FALSE,,,TRUE,oxygen + water,water saturated but not reduced,,
pachic,FALSE,,,TRUE,thick,epipedon thicker than typic subgroup,,
petrocalcic,FALSE,,,FALSE,rock + lime,presence of a petrocalcic horizon,,
petroferric,FALSE,,,FALSE,rock + iron,presence of petroferric contact,,
petrogypsic,FALSE,,,FALSE,rock + gypsum,presence of a petrogypsic horizon,,
petronodic,FALSE,,,FALSE,rock + knot,presence of concretions and/or nodules,,
placic,FALSE,,,FALSE,flat stone,presence of a placic horizon,,
plinthic,FALSE,,,FALSE,brick,presence of plinthite,,
rhodic,FALSE,,,TRUE,rose,darker red colors than typic subgroup,,
ruptic,FALSE,,,FALSE,broken,intermittent horizon,,
salic,FALSE,,,FALSE,salt,presence of a salic horizon,,
sapric,FALSE,,,FALSE,rotten,>25cm of sapric organic material,,
sodic,FALSE,,,FALSE,sodium,high exchangeable Na content,,
sombric,FALSE,,,FALSE,dark,presence of a sombric horizon,,
sphagnic,FALSE,,,FALSE,moss,sphagnum organic material,,
sulfic,FALSE,,,FALSE,sulfur,presence of sulfides,,
terric,FALSE,,,TRUE,earth,mineral substratum within 1 meter,,
thaptic,FALSE,,,FALSE,buried,presence of a buried soil horizon,,
thapto,FALSE,,,FALSE,buried,presence of a buried soil horizon,,
turbic,FALSE,,,TRUE,disturbed,evidence of cryoturbation,,
udic,FALSE,,,TRUE,humid,more humid than typic subgroup,,
umbric,FALSE,,,FALSE,shade,presence of an umbric epipedon,,
ustic,FALSE,,,TRUE,burnt,more ustic than typic subgroup,,
vermic,FALSE,,,FALSE,worms,animal mixed material,,
vitric,FALSE,,,FALSE,glass,presence of glassy material,,
xanthic,FALSE,,,TRUE,yellow,more yellow than typic subgroup,,
xeric,FALSE,,,TRUE,dry,more xeric than typic subgroup,,
typic,TRUE,FALSE,FALSE,FALSE,typical,central theme of subgroup concept,,
haplic,TRUE,FALSE,FALSE,FALSE,simple,central theme of subgroup concept,,
acraquoxic,FALSE,,,TRUE,acraquox,low apparent cation exchange capacity (like acraquox),,
acrudoxic,FALSE,,,TRUE,acrudox,low apparent cation exchange capacity (like acrudox),,
acrustoxic,FALSE,,,TRUE,acrudox,low apparent cation exchange capacity (like acrustox),,
albaquultic,FALSE,,,TRUE,albaqults,like albaquults,,
andic,FALSE,,,TRUE,andisols,low bulk density and short range order minerals,,
anhydritic,FALSE,,,FALSE,anhydrite,presence of an anhydritic horizon,,
anthraltic,FALSE,,,FALSE,anthro + altered,presence of 50 cm or more of human-altered material,,
anthrodensic,FALSE,,,FALSE,anthro + dense,presence of densic contact due to mechanical compaction,,
anthroportic,FALSE,,,FALSE,anthro + transported,presence of 50 cm or more of human-transported material,,
aqualfic,FALSE,,,TRUE,aqualfs,like aqualfs,,
aquandic,FALSE,,,TRUE,aquands,"wetter than typic subgroup, low bulk density and short range order minerals",,
aquentic,FALSE,,,TRUE,aquents,like aquents,,
aqueptic,FALSE,,,TRUE,aquepts,like aquepts,,
aquertic,FALSE,,,TRUE,aquerts,redox depletions with cracks and/or high linear extensibility,,
aquicambidic,FALSE,,,TRUE,aquicambids,like aquicambids,,
aquodic,FALSE,,,TRUE,aquods,like aquods,,
aquollic,FALSE,,,TRUE,aquiolls,like aquolls,,
aquultic,FALSE,,,TRUE,aquults,redox depletions and base saturation by sum of cations 75% or less,,
argiaquic,FALSE,,,FALSE,,no abrupt textural change between albic and argillic horizon,,
argidic,FALSE,,,TRUE,argids,duripan that is strongly cemented or less cemented,,
argiduridic,FALSE,,,TRUE,argidurids,"aridic soil moisture regime with argillic horizon plus duripan, durinodes or brittle manner of failure",,
calciargidic,FALSE,,,TRUE,calciargids,like calciargids,,
